Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 26 2021,SPXW210426C04170000,17.4,5.9,17.6,18,598,0.1153,0.478,0.0071,348,4170.00,SPXW210426P04170000,20.8,-23.55,21.1,21.5,372,0.0904,-0.5294,0.009,612
Mon Apr 26 2021,SPXW210426C04175000,15,5.15,15.1,15.4,628,0.1128,0.4415,0.0072,829,4175.00,SPXW210426P04175000,20.17,-27.48,23.6,24.1,188,0.0874,-0.5768,0.0092,383
Mon Apr 26 2021,SPXW210426C04180000,13.05,4.7,12.9,13.2,609,0.1109,0.4044,0.0071,399,4180.00,SPXW210426P04180000,22.41,-28.79,26.3,26.9,48,0.0848,-0.6254,0.0091,204
Mon Apr 26 2021,SPXW210426C04185000,11,3.95,10.9,11.1,108,0.1088,0.3668,0.0071,246,4185.00,SPXW210426P04185000,28.84,-26.01,29.3,30,68,0.082,-0.6757,0.009,70
Wed Apr 28 2021,SPXW210428C04160000,35,12.95,31,31.4,275,0.1347,0.537,0.0051,1124,4160.00,SPXW210428P04160000,24.97,-19.88,24.5,24.9,492,0.1124,-0.4571,0.0061,188
Wed Apr 28 2021,SPXW210428C04165000,31,11.2,28.1,28.5,402,0.1318,0.5115,0.0052,163,4165.00,SPXW210428P04165000,23.8,-23.75,26.6,27,84,0.1103,-0.4876,0.0063,27
Wed Apr 28 2021,SPXW210428C04170000,25.4,7.7,25.3,25.6,298,0.1298,0.485,0.0053,107,4170.00,SPXW210428P04170000,29.3,-21.15,28.7,29.2,140,0.1082,-0.5193,0.0064,23
Wed Apr 28 2021,SPXW210428C04175000,23.49,7.79,22.7,23,767,0.1278,0.4578,0.0054,520,4175.00,SPXW210428P04175000,31.65,-21.8,31.1,31.6,266,0.1053,-0.5526,0.0065,28
Wed Apr 28 2021,SPXW210428C04180000,20.5,6.65,20.2,20.5,168,0.1259,0.43,0.0054,144,4180.00,SPXW210428P04180000,34.15,-22.5,33.6,34.1,266,0.1039,-0.586,0.0065,35
Wed Apr 28 2021,SPXW210428C04185000,20.4,8.2,17.9,18.2,264,0.1239,0.4017,0.0054,144,4185.00,SPXW210428P04185000,41.6,-18.35,36.3,36.9,11,0.1007,-0.6217,0.0065,42
Fri Apr 30 2021,SPXW210430C04160000,38,10.25,37.2,37.7,513,0.1418,0.5308,0.0043,1668,4160.00,SPXW210430P04160000,30.17,-20.68,31.1,31.5,327,0.1224,-0.4656,0.005,1414
Fri Apr 30 2021,SPXW210430C04165000,36.85,11.5,34.2,34.7,169,0.1395,0.5094,0.0044,816,4165.00,SPXW210430P04165000,33.5,-19.9,33.1,33.5,68,0.1204,-0.4904,0.0051,218
Fri Apr 30 2021,SPXW210430C04170000,32.13,9.08,31.4,31.8,258,0.1372,0.4872,0.0044,455,4170.00,SPXW210430P04170000,35.3,-20.85,35.2,35.7,203,0.1185,-0.5161,0.0051,563
Fri Apr 30 2021,SPXW210430C04175000,30.22,9.37,28.6,29,785,0.1356,0.4646,0.0045,2574,4175.00,SPXW210430P04175000,34.7,-24.25,37.5,37.9,46,0.1157,-0.5428,0.0052,754
Fri Apr 30 2021,SPXW210430C04180000,25.73,6.88,26,26.4,282,0.1334,0.4413,0.0045,656,4180.00,SPXW210430P04180000,37.18,-24.72,39.8,40.3,41,0.1144,-0.5696,0.0052,415
Fri Apr 30 2021,SPXW210430C04185000,23.66,6.76,23.6,23.9,167,0.1317,0.4178,0.0045,378,4185.00,SPXW210430P04185000,39.2,-25.8,42.3,42.9,84,0.1121,-0.5976,0.0053,272
Mon May 03 2021,SPXW210503C04160000,41.2,10.15,40.8,41.4,38,0.1343,0.5294,0.0039,317,4160.00,SPXW210503P04160000,34.3,-19.85,34.7,35.1,101,0.118,-0.4678,0.0045,331
Mon May 03 2021,SPXW210503C04165000,39.46,10.91,37.8,38.4,64,0.1323,0.5098,0.004,142,4165.00,SPXW210503P04165000,35.75,-20.9,36.7,37,26,0.1162,-0.4901,0.0045,33
Mon May 03 2021,SPXW210503C04170000,35.73,9.53,34.9,35.3,37,0.1305,0.4896,0.004,140,4170.00,SPXW210503P04170000,37.23,-22.07,38.8,39.3,8,0.1144,-0.5131,0.0046,467
Mon May 03 2021,SPXW210503C04175000,31.96,8.06,32.2,32.5,513,0.1287,0.4689,0.0041,1251,4175.00,SPXW210503P04175000,38.5,-23.55,41,41.5,19,0.1125,-0.5368,0.0047,169
Mon May 03 2021,SPXW210503C04180000,29.23,7.43,29.5,29.9,44,0.1268,0.4477,0.0041,92,4180.00,SPXW210503P04180000,41.42,-23.48,43.3,43.8,1,0.1109,-0.561,0.0047,38
Mon May 03 2021,SPXW210503C04185000,22.58,2.78,27,27.3,24,0.1253,0.4262,0.0041,39,4185.00,SPXW210503P04185000,44.66,0,45.8,46.3,0,0.1089,-0.586,0.0047,31
Wed May 05 2021,SPXW210505C04160000,46.06,10.56,45.7,46.1,95,0.1387,0.5274,0.0035,314,4160.00,SPXW210505P04160000,36.97,-21.53,39.4,39.9,104,0.1233,-0.4704,0.004,95
Wed May 05 2021,SPXW210505C04165000,45.82,12.92,42.7,43.1,26,0.1371,0.5098,0.0036,441,4165.00,SPXW210505P04165000,43.3,-17.65,41.4,41.9,23,0.1216,-0.4902,0.004,92
Wed May 05 2021,SPXW210505C04170000,39.7,9.2,39.7,40.2,22,0.1351,0.4917,0.0036,85,4170.00,SPXW210505P04170000,43.73,-19.72,43.4,43.9,355,0.1192,-0.5107,0.0041,152
Wed May 05 2021,SPXW210505C04175000,39.78,11.68,36.9,37.3,148,0.1335,0.4733,0.0037,342,4175.00,SPXW210505P04175000,42.52,-23.58,45.6,46.1,34,0.1182,-0.5314,0.0041,53
Wed May 05 2021,SPXW210505C04180000,36.62,10.77,34.2,34.6,47,0.132,0.4545,0.0037,67,4180.00,SPXW210505P04180000,45.3,-23.55,47.8,48.4,25,0.1157,-0.5532,0.0042,25
Wed May 05 2021,SPXW210505C04185000,29.67,5.97,31.6,32,62,0.1302,0.4352,0.0037,56,4185.00,SPXW210505P04185000,64.95,0,50.2,50.7,0,0.1146,-0.5748,0.0042,14
Fri May 07 2021,SPXW210507C04160000,49.92,10.92,49.5,50,222,0.1418,0.5224,0.0032,1452,4160.00,SPXW210507P04160000,44.63,-18.62,44.5,44.9,174,0.1274,-0.4764,0.0036,83
Fri May 07 2021,SPXW210507C04165000,46.4,10,46.5,47,101,0.1403,0.5062,0.0033,918,4165.00,SPXW210507P04165000,46.09,-19.56,46.4,46.9,60,0.1256,-0.4944,0.0036,94
Fri May 07 2021,SPXW210507C04170000,43.55,9.65,43.5,44,154,0.1384,0.4896,0.0033,323,4170.00,SPXW210507P04170000,47.6,-20.55,48.5,49,56,0.1239,-0.5129,0.0037,67
Fri May 07 2021,SPXW210507C04175000,41.04,9.54,40.7,41.2,250,0.1368,0.4727,0.0033,2273,4175.00,SPXW210507P04175000,47.88,-22.87,50.6,51.1,23,0.1227,-0.5317,0.0037,67
Fri May 07 2021,SPXW210507C04180000,40.32,11.12,37.9,38.4,284,0.1352,0.4555,0.0034,168,4180.00,SPXW210507P04180000,64.2,-9.25,52.8,53.4,11,0.1206,-0.5512,0.0038,201
Fri May 07 2021,SPXW210507C04185000,37.65,10.65,35.3,35.8,129,0.1336,0.4379,0.0034,138,4185.00,SPXW210507P04185000,53.08,-23.12,55.2,55.7,21,0.1192,-0.5708,0.0038,17
Mon May 10 2021,SPXW210510C04160000,52.92,11.12,52.6,53.1,28,0.138,0.5216,0.003,442,4160.00,SPXW210510P04160000,51.1,-14.95,47.5,48,3,0.1248,-0.4773,0.0034,86
Mon May 10 2021,SPXW210510C04165000,39.5,0.3,49.5,50.1,1,0.1365,0.5064,0.0031,51,4165.00,SPXW210510P04165000,74.39,5.94,49.5,50,7,0.1229,-0.4942,0.0034,45
Mon May 10 2021,SPXW210510C04170000,49.6,12.95,46.6,47,12,0.1348,0.4907,0.0031,190,4170.00,SPXW210510P04170000,60.48,0,51.5,52,0,0.1219,-0.5115,0.0034,406
Mon May 10 2021,SPXW210510C04175000,43.99,9.79,43.7,44.2,45,0.1331,0.4748,0.0031,747,4175.00,SPXW210510P04175000,65.18,-8.22,53.6,54.1,3,0.1199,-0.5293,0.0035,493
Mon May 10 2021,SPXW210510C04180000,42.29,10.49,40.9,41.4,81,0.1317,0.4586,0.0032,477,4180.00,SPXW210510P04180000,57.75,-18.25,55.8,56.3,27,0.1189,-0.5471,0.0035,236
Mon May 10 2021,SPXW210510C04185000,36.66,7.11,38.2,38.7,3,0.1301,0.442,0.0032,209,4185.00,SPXW210510P04185000,63,0,58.1,58.6,0,0.1172,-0.5656,0.0035,11
Wed May 12 2021,SPXW210512C04160000,57.93,12.63,56.3,56.8,103,0.1398,0.5198,0.0029,36,4160.00,SPXW210512P04160000,51.72,-18.33,51.7,52.2,112,0.1281,-0.4795,0.0031,32
Wed May 12 2021,SPXW210512C04165000,51.45,8.8,53.2,53.8,81,0.1383,0.5055,0.0029,39,4165.00,SPXW210512P04165000,50.88,-21.47,53.6,54.2,22,0.1264,-0.4952,0.0032,0
Wed May 12 2021,SPXW210512C04170000,53.05,13,50.2,50.8,18,0.1367,0.4908,0.0029,16,4170.00,SPXW210512P04170000,52.42,-22.33,55.6,56.2,18,0.1253,-0.5112,0.0032,1
Wed May 12 2021,SPXW210512C04175000,50.13,12.58,47.3,47.9,16,0.1353,0.4759,0.0029,182,4175.00,SPXW210512P04175000,54.98,-22.32,57.7,58.3,4,0.1238,-0.5275,0.0032,77
Wed May 12 2021,SPXW210512C04180000,41.6,6.45,44.5,45.1,30,0.1339,0.4607,0.003,491,4180.00,SPXW210512P04180000,90.55,0,59.9,60.5,0,0.1221,-0.5443,0.0032,36
Wed May 12 2021,SPXW210512C04185000,42.46,9.66,41.8,42.4,97,0.1324,0.4452,0.003,22,4185.00,SPXW210512P04185000,0,0,62.2,62.8,0,0.1205,-0.5614,0.0033,0
Fri May 14 2021,SPXW210514C04160000,59.74,11.14,59.6,60.2,118,0.1429,0.5172,0.0027,220,4160.00,SPXW210514P04160000,56.5,-17.6,55.8,56.4,65,0.1312,-0.4825,0.0029,91
Fri May 14 2021,SPXW210514C04165000,58.27,12.37,56.5,57.1,18,0.1412,0.5037,0.0027,304,4165.00,SPXW210514P04165000,58.43,-17.97,57.8,58.3,2,0.1297,-0.4972,0.0029,898
Fri May 14 2021,SPXW210514C04170000,53.5,10.2,53.6,54.1,85,0.1398,0.49,0.0027,396,4170.00,SPXW210514P04170000,56.71,-22.04,59.8,60.3,14,0.1282,-0.5122,0.003,399
Fri May 14 2021,SPXW210514C04175000,53.78,13.03,50.7,51.2,113,0.1383,0.476,0.0028,1420,4175.00,SPXW210514P04175000,87.1,0,61.9,62.5,0,0.1267,-0.5274,0.003,775
Fri May 14 2021,SPXW210514C04180000,50.62,12.32,47.8,48.4,11,0.1368,0.4617,0.0028,914,4180.00,SPXW210514P04180000,60.61,-23.19,64.1,64.6,3,0.1254,-0.543,0.003,55
Fri May 14 2021,SPXW210514C04185000,47.5,11.6,45.1,45.7,21,0.1355,0.4473,0.0028,310,4185.00,SPXW210514P04185000,71.73,0,66.3,66.9,0,0.1238,-0.5589,0.003,43
Mon May 17 2021,SPXW210517C04160000,58.76,7.51,62.3,63,11,0.1402,0.5172,0.0026,12,4160.00,SPXW210517P04160000,60.15,-16.6,58.6,59.2,11,0.1296,-0.4826,0.0028,47
Mon May 17 2021,SPXW210517C04165000,57.6,9.05,59.3,59.9,1,0.1387,0.5043,0.0026,1,4165.00,SPXW210517P04165000,64.6,-14.45,60.5,61.1,1,0.1281,-0.4965,0.0028,0
Mon May 17 2021,SPXW210517C04170000,51.92,6.02,56.3,56.9,9,0.1373,0.4911,0.0026,738,4170.00,SPXW210517P04170000,84.02,0,62.5,63.1,0,0.1272,-0.5107,0.0028,12
Mon May 17 2021,SPXW210517C04175000,56.23,12.88,53.4,54,60,0.1363,0.4778,0.0026,221,4175.00,SPXW210517P04175000,86.52,0,64.6,65.2,0,0.1253,-0.5253,0.0029,1855
Mon May 17 2021,SPXW210517C04180000,48.21,7.31,50.6,51.2,4,0.1347,0.4641,0.0027,37,4180.00,SPXW210517P04180000,70,-16.35,66.7,67.4,1,0.1236,-0.5403,0.0029,5
Mon May 17 2021,SPXW210517C04185000,45,6.5,47.8,48.4,10,0.1333,0.4503,0.0027,5,4185.00,SPXW210517P04185000,80.07,0,69,69.6,0,0.1225,-0.5552,0.0029,2
Wed May 19 2021,SPXW210519C04150000,74.5,14.85,71.4,72.2,9,0.1457,0.5381,0.0024,1,4150.00,SPXW210519P04150000,81.08,0,58.7,59.5,0,0.1349,-0.4601,0.0026,2
Wed May 19 2021,SPXW210519C04160000,61.73,7.68,65.1,65.8,10,0.143,0.5143,0.0024,5,4160.00,SPXW210519P04160000,66.48,-14.12,62.4,63.2,10,0.1322,-0.4858,0.0026,0
Wed May 19 2021,SPXW210519C04170000,59.98,11.23,59.1,59.7,10,0.1401,0.4896,0.0025,1,4170.00,SPXW210519P04170000,0,0,66.4,67.1,0,0.1292,-0.5125,0.0027,0
Wed May 19 2021,SPXW210519C04175000,58.89,12.74,56.2,56.8,8,0.1388,0.477,0.0025,0,4175.00,SPXW210519P04175000,0,0,68.5,69.2,0,0.1276,-0.5263,0.0027,0
Wed May 19 2021,SPXW210519C04180000,41.58,0,53.4,54,0,0.1374,0.464,0.0025,5,4180.00,SPXW210519P04180000,0,0,70.6,71.4,0,0.1266,-0.5402,0.0027,0
Wed May 19 2021,SPXW210519C04190000,0,0,47.9,48.6,0,0.1349,0.4378,0.0025,0,4190.00,SPXW210519P04190000,0,0,75.2,76,0,0.1238,-0.569,0.0028,0
Fri May 21 2021,SPXW210521C04165000,63.1,8.3,65.8,66.3,41,0.144,0.5021,0.0023,115,4165.00,SPXW210521P04165000,68.28,-18.37,68.4,68.9,10,0.1337,-0.499,0.0025,38
Fri May 21 2021,SPX210521C04170000,63.4,12.2,61.7,62.4,99,0.1417,0.4899,0.0024,778,4170.00,SPX210521P04170000,69.5,-18.5,69.3,70.1,62,0.1313,-0.5121,0.0026,778
Fri May 21 2021,SPXW210521C04170000,64.86,12.71,62.8,63.3,46,0.1432,0.4904,0.0023,106,4170.00,SPXW210521P04170000,67.71,-21.29,70.5,70.9,14,0.1323,-0.5117,0.0025,153
Fri May 21 2021,SPX210521C04175000,58.8,10.2,58.9,59.5,2978,0.1403,0.4778,0.0024,7823,4175.00,SPX210521P04175000,71.6,-18.8,71.4,72.2,8,0.1299,-0.5252,0.0026,5243
Fri May 21 2021,SPXW210521C04175000,56.5,6.95,59.9,60.4,12,0.142,0.4784,0.0023,110,4175.00,SPXW210521P04175000,70.95,-20.45,72.5,73,12,0.1309,-0.5247,0.0025,173
Fri May 21 2021,SPX210521C04180000,55.1,9,56,56.7,45,0.139,0.4654,0.0024,2646,4180.00,SPX210521P04180000,70.3,-22.6,73.6,74.4,2,0.1287,-0.5386,0.0026,34
Fri May 28 2021,SPXW210528C04160000,79.6,13.45,77.5,78.2,7,0.1483,0.5122,0.002,80,4160.00,SPXW210528P04160000,73.06,-20.94,76.2,76.8,41,0.139,-0.4882,0.0022,24
Fri May 28 2021,SPXW210528C04165000,71.47,8.07,74.5,75.1,19,0.1471,0.5019,0.002,24,4165.00,SPXW210528P04165000,82.06,-14.14,78.1,78.7,3,0.1377,-0.4992,0.0022,25
Fri May 28 2021,SPXW210528C04170000,68.9,8.2,71.5,72.1,3,0.1459,0.4914,0.0021,39,4170.00,SPXW210528P04170000,77.64,-20.91,80.1,80.7,11,0.1366,-0.5104,0.0022,15
Fri May 28 2021,SPXW210528C04175000,70.97,12.87,68.6,69.2,6,0.1447,0.4808,0.0021,501,4175.00,SPXW210528P04175000,79.63,-21.27,82.2,82.8,3,0.1353,-0.5217,0.0022,2253
Fri May 28 2021,SPXW210528C04180000,53.8,0,65.7,66.3,0,0.1435,0.4701,0.0021,128,4180.00,SPXW210528P04180000,79.7,0,84.3,85,0,0.1341,-0.5332,0.0022,9
Fri May 28 2021,SPXW210528C04185000,69.2,0,62.9,63.5,0,0.1425,0.4593,0.0021,64,4185.00,SPXW210528P04185000,0,0,86.5,87.2,0,0.133,-0.5448,0.0022,24
Fri Jun 04 2021,SPXW210604C04160000,80.98,7.98,84.3,84.9,2,0.1486,0.5108,0.0019,15,4160.00,SPXW210604P04160000,84.62,-17.33,84,84.6,7,0.1399,-0.4897,0.002,36
Fri Jun 04 2021,SPXW210604C04165000,79.26,8.96,81.3,81.9,2,0.1474,0.5014,0.0019,3,4165.00,SPXW210604P04165000,109.2,0,85.9,86.5,0,0.1387,-0.4997,0.002,26
Fri Jun 04 2021,SPXW210604C04170000,80.4,12.8,78.3,78.9,3,0.1464,0.4919,0.0019,107,4170.00,SPXW210604P04170000,85.38,-21.12,87.9,88.6,1,0.1377,-0.5099,0.002,17
Fri Jun 04 2021,SPXW210604C04175000,77.62,12.62,75.4,76,4,0.1453,0.4822,0.0019,11,4175.00,SPXW210604P04175000,112.39,3.54,90,90.6,2,0.1364,-0.5202,0.002,22
Fri Jun 04 2021,SPXW210604C04180000,69.51,7.11,72.5,73.1,1,0.1441,0.4724,0.0019,49,4180.00,SPXW210604P04180000,116.4,0,92.1,92.8,0,0.1354,-0.5306,0.002,10
Fri Jun 04 2021,SPXW210604C04185000,0,0,69.7,70.3,0,0.1432,0.4625,0.0019,0,4185.00,SPXW210604P04185000,113.83,0,94.3,95,0,0.1345,-0.5412,0.002,6
Fri Jun 11 2021,SPXW210611C04150000,96.11,0,98.5,99.2,0,0.1535,0.5278,0.0017,36,4150.00,SPXW210611P04150000,97.52,-8.63,88.7,89.3,42,0.1453,-0.4718,0.0018,18
Fri Jun 11 2021,SPXW210611C04160000,90.78,0,92.3,92.9,0,0.1513,0.5109,0.0017,9,4160.00,SPXW210611P04160000,93.57,-16.88,92.5,93.1,4,0.1431,-0.4897,0.0018,17
Fri Jun 11 2021,SPXW210611C04170000,84.6,9,86.3,86.9,3,0.1492,0.4936,0.0017,10,4170.00,SPXW210611P04170000,97.57,-17.38,96.4,97,1,0.141,-0.508,0.0018,13
Fri Jun 11 2021,SPXW210611C04175000,0,0,83.4,84,0,0.1482,0.4848,0.0017,5,4175.00,SPXW210611P04175000,102.9,-14.35,98.5,99.1,6,0.14,-0.5173,0.0018,0
Fri Jun 11 2021,SPXW210611C04180000,76.28,0,80.5,81.1,0,0.1471,0.4758,0.0017,5,4180.00,SPXW210611P04180000,129.14,0,100.6,101.2,0,0.139,-0.5268,0.0018,17
Fri Jun 11 2021,SPXW210611C04190000,0,0,74.9,75.5,0,0.1452,0.4577,0.0018,12,4190.00,SPXW210611P04190000,109.7,-14.9,105,105.6,2,0.1369,-0.546,0.0019,3
Fri Jun 18 2021,SPXW210618C04165000,93.88,8.28,96.5,97,55,0.1524,0.5021,0.0016,61,4165.00,SPXW210618P04165000,105.29,-15.81,102.9,103.4,2,0.1449,-0.499,0.0017,73
Fri Jun 18 2021,SPX210618C04170000,95.28,13.13,92.8,93.4,420,0.1508,0.4939,0.0016,7663,4170.00,SPX210618P04170000,102.07,-20.73,104.2,104.9,364,0.1436,-0.5075,0.0017,7620
Fri Jun 18 2021,SPXW210618C04170000,94.61,11.81,93.5,94,48,0.1515,0.494,0.0016,247,4170.00,SPXW210618P04170000,101.66,-21.74,104.9,105.4,6,0.144,-0.5075,0.0017,77
Fri Jun 18 2021,SPX210618C04175000,91.96,12.51,90,90.5,286,0.1498,0.4857,0.0016,12881,4175.00,SPX210618P04175000,102.9,-22.2,106.3,106.9,3,0.1425,-0.5162,0.0017,6431
Fri Jun 18 2021,SPXW210618C04175000,92.71,12.61,90.6,91.1,245,0.1508,0.4859,0.0016,400,4175.00,SPXW210618P04175000,104.13,-21.57,107,107.5,5,0.1431,-0.516,0.0017,53
Fri Jun 18 2021,SPX210618C04180000,88.88,12.03,87,87.6,11,0.1489,0.4774,0.0016,4092,4180.00,SPX210618P04180000,113.91,-13.49,108.4,109.1,4,0.1416,-0.5249,0.0017,3111
Wed Jun 30 2021,SPXW210630C04160000,100.7,2.4,109.6,110.4,13,0.1543,0.5105,0.0014,124,4160.00,SPXW210630P04160000,116.64,-12.86,111.7,112.4,1,0.1474,-0.4901,0.0015,57
Wed Jun 30 2021,SPXW210630C04165000,98.7,3.25,106.6,107.3,50,0.1533,0.5033,0.0014,103,4165.00,SPXW210630P04165000,0,0,113.7,114.4,0,0.1467,-0.4977,0.0015,7
Wed Jun 30 2021,SPXW210630C04170000,106.05,0,103.7,104.3,0,0.1523,0.496,0.0014,45,4170.00,SPXW210630P04170000,117.79,0,115.6,116.4,0,0.1454,-0.5054,0.0015,67
Wed Jun 30 2021,SPXW210630C04175000,86.55,0,100.7,101.3,0,0.1516,0.4886,0.0014,3540,4175.00,SPXW210630P04175000,118.7,-17.35,117.7,118.4,4,0.1447,-0.5131,0.0015,1398
Wed Jun 30 2021,SPXW210630C04180000,0,0,97.8,98.4,0,0.1505,0.4811,0.0015,126,4180.00,SPXW210630P04180000,138.63,0,119.7,120.5,0,0.1438,-0.5209,0.0015,7
Wed Jun 30 2021,SPXW210630C04185000,0,0,94.9,95.5,0,0.1496,0.4736,0.0015,38,4185.00,SPXW210630P04185000,0,0,121.8,122.6,0,0.1429,-0.5288,0.0015,0
